New Partners Starter,Cumulative Partners Starter,New Locations Starter,Cumulative Locations Starter,Cumulative Gateways Starter,Cumulative Cameras Starter,Cumulative Location License Fees Starter,Cumulative Gateway License Fees Starter,Cumulative Cameras License Fees Starter,Total License Fee Starter,Total Cumulative Costs,Total License Fee Monthly (All Models),Total Cumulative License Fee (All Models),Sales Commission Per Month,Total Cumulative Sales Commission,Cash Flow Per Month,Total Cumulative Cash Flow,Valuation Per Year
0,0,5,0,0,0,0,0,0.0,0.0,100000,0.0,0.0,0.0,0.0,-100000.0,-100000.0,"$853,227"
0,0,5,5,50,1500,3500,7500,2250.0,13250.0,200000,13250.0,13250.0,3312.5,3312.5,-90062.5,-190062.5,"$23,518,946"
0,0,5,10,100,3000,8750,18750,5625.0,33125.0,300000,33125.0,46375.0,8281.25,11593.75,-75156.25,-265218.75,"$108,929,752"
0,0,5,15,150,4500,15750,33750,10125.0,59625.0,400000,59625.0,106000.0,14906.25,26500.0,-55281.25,-320500.0,"$286,325,575"
0,0,5,20,200,6000,24500,52500,15750.0,92750.0,500000,92750.0,198750.0,23187.5,49687.5,-30437.5,-350937.5,"$571,134,144"
0,0,5,25,250,7500,35000,75000,22500.0,132500.0,600000,132500.0,331250.0,33125.0,82812.5,-625.0,-351562.5,
0,0,12,37,370,11100,49700,106500,31950.0,188150.0,700000,188150.0,519400.0,47037.5,129850.0,41112.5,-310450.0,
0,0,12,49,490,14700,68600,147000,44100.0,259700.0,800000,259700.0,779100.0,64925.0,194775.0,94775.0,-215675.0,
0,0,12,61,610,18300,91700,196500,58950.0,347150.0,900000,347150.0,1126250.0,86787.5,281562.5,160362.5,-55312.5,
0,0,12,73,730,21900,119000,255000,76500.0,450500.0,1000000,450500.0,1576750.0,112625.0,394187.5,237875.0,182562.5,
0,0,12,85,850,25500,150500,322500,96750.0,569750.0,1100000,569750.0,2146500.0,142437.5,536625.0,327312.5,509875.0,
0,0,12,97,970,29100,186200,399000,119700.0,704900.0,1200000,704900.0,2851400.0,176225.0,712850.0,428675.0,938550.0,
0,0,40,137,1370,41100,235900,505500,151650.0,893050.0,1300000,893050.0,3744450.0,223262.5,936112.5,569787.5,1508337.5,
0,0,40,177,1770,53100,299600,642000,192600.0,1134200.0,1400000,1134200.0,4878650.0,283550.0,1219662.5,750650.0,2258987.5,
0,0,40,217,2170,65100,377300,808500,242550.0,1428350.0,1500000,1428350.0,6307000.0,357087.5,1576750.0,971262.5,3230250.0,
0,0,40,257,2570,77100,469000,1005000,301500.0,1775500.0,1600000,1775500.0,8082500.0,443875.0,2020625.0,1231625.0,4461875.0,
0,0,40,297,2970,89100,574700,1231500,369450.0,2175650.0,1700000,2175650.0,10258150.0,543912.5,2564537.5,1531737.5,5993612.5,
0,0,40,337,3370,101100,694400,1488000,446400.0,2628800.0,1800000,2628800.0,12886950.0,657200.0,3221737.5,1871600.0,7865212.5,
0,0,40,377,3770,113100,828100,1774500,532350.0,3134950.0,1900000,3134950.0,16021900.0,783737.5,4005475.0,2251212.5,10116425.0,
0,0,40,417,4170,125100,975800,2091000,627300.0,3694100.0,2000000,3694100.0,19716000.0,923525.0,4929000.0,2670575.0,12787000.0,
0,0,40,457,4570,137100,1137500,2437500,731250.0,4306250.0,2100000,4306250.0,24022250.0,1076562.5,6005562.5,3129687.5,15916687.5,
0,0,40,497,4970,149100,1313200,2814000,844200.0,4971400.0,2200000,4971400.0,28993650.0,1242850.0,7248412.5,3628550.0,19545237.5,
0,0,40,537,5370,161100,1502900,3220500,966150.0,5689550.0,2300000,5689550.0,34683200.0,1422387.5,8670800.0,4167162.5,23712400.0,
0,0,40,577,5770,173100,1706600,3657000,1097100.0,6460700.0,2400000,6460700.0,41143900.0,1615175.0,10285975.0,4745525.0,28457925.0,
0,0,40,617,6170,185100,1924300,4123500,1237050.0,7284850.0,2500000,7284850.0,48428750.0,1821212.5,12107187.5,5363637.5,33821562.5,
0,0,40,657,6570,197100,2156000,4620000,1386000.0,8162000.0,2600000,8162000.0,56590750.0,2040500.0,14147687.5,6021500.0,39843062.5,
0,0,40,697,6970,209100,2401700,5146500,1543950.0,9092150.0,2700000,9092150.0,65682900.0,2273037.5,16420725.0,6719112.5,46562175.0,
0,0,40,737,7370,221100,2661400,5703000,1710900.0,10075300.0,2800000,10075300.0,75758200.0,2518825.0,18939550.0,7456475.0,54018650.0,
0,0,40,777,7770,233100,2935100,6289500,1886850.0,11111450.0,2900000,11111450.0,86869650.0,2777862.5,21717412.5,8233587.5,62252237.5,
0,0,40,817,8170,245100,3222800,6906000,2071800.0,12200600.0,3000000,12200600.0,99070250.0,3050150.0,24767562.5,9050450.0,71302687.5,
0,0,40,857,8570,257100,3524500,7552500,2265750.0,13342750.0,3100000,13342750.0,112413000.0,3335687.5,28103250.0,9907062.5,81209750.0,
0,0,40,897,8970,269100,3840200,8229000,2468700.0,14537900.0,3200000,14537900.0,126950900.0,3634475.0,31737725.0,10803425.0,92013175.0,
0,0,40,937,9370,281100,4169900,8935500,2680650.0,15786050.0,3300000,15786050.0,142736950.0,3946512.5,35684237.5,11739537.5,103752712.5,
0,0,40,977,9770,293100,4513600,9672000,2901600.0,17087200.0,3400000,17087200.0,159824150.0,4271800.0,39956037.5,12715400.0,116468112.5,
0,0,40,1017,10170,305100,4871300,10438500,3131550.0,18441350.0,3500000,18441350.0,178265500.0,4610337.5,44566375.0,13731012.5,130199125.0,
0,0,40,1057,10570,317100,5243000,11235000,3370500.0,19848500.0,3600000,19848500.0,198114000.0,4962125.0,49528500.0,14786375.0,144985500.0,
0,0,40,1097,10970,329100,5628700,12061500,3618450.0,21308650.0,3700000,21308650.0,219422650.0,5327162.5,54855662.5,15881487.5,160866987.5,
0,0,40,1137,11370,341100,6028400,12918000,3875400.0,22821800.0,3800000,22821800.0,242244450.0,5705450.0,60561112.5,17016350.0,177883337.5,
0,0,40,1177,11770,353100,6442100,13804500,4141350.0,24387950.0,3900000,24387950.0,266632400.0,6096987.5,66658100.0,18190962.5,196074300.0,
0,0,40,1217,12170,365100,6869800,14721000,4416300.0,26007100.0,4000000,26007100.0,292639500.0,6501775.0,73159875.0,19405325.0,215479625.0,
0,0,40,1257,12570,377100,7311500,15667500,4700250.0,27679250.0,4100000,27679250.0,320318750.0,6919812.5,80079687.5,20659437.5,236139062.5,
0,0,40,1297,12970,389100,7767200,16644000,4993200.0,29404400.0,4200000,29404400.0,349723150.0,7351100.0,87430787.5,21953300.0,258092362.5,
0,0,40,1337,13370,401100,8236900,17650500,5295150.0,31182550.0,4300000,31182550.0,380905700.0,7795637.5,95226425.0,23286912.5,281379275.0,
0,0,40,1377,13770,413100,8720600,18687000,5606100.0,33013700.0,4400000,33013700.0,413919400.0,8253425.0,103479850.0,24660275.0,306039550.0,
0,0,40,1417,14170,425100,9218300,19753500,5926050.0,34897850.0,4500000,34897850.0,448817250.0,8724462.5,112204312.5,26073387.5,332112937.5,
0,0,40,1457,14570,437100,9730000,20850000,6255000.0,36835000.0,4600000,36835000.0,485652250.0,9208750.0,121413062.5,27526250.0,359639187.5,
0,0,40,1497,14970,449100,10255700,21976500,6592950.0,38825150.0,4700000,38825150.0,524477400.0,9706287.5,131119350.0,29018862.5,388658050.0,
0,0,40,1537,15370,461100,10795400,23133000,6939900.0,40868300.0,4800000,40868300.0,565345700.0,10217075.0,141336425.0,30551225.0,419209275.0,
0,0,40,1577,15770,473100,11349100,24319500,7295850.0,42964450.0,4900000,42964450.0,608310150.0,10741112.5,152077537.5,32123337.5,451332612.5,
0,0,40,1617,16170,485100,11916800,25536000,7660800.0,45113600.0,5000000,45113600.0,653423750.0,11278400.0,163355937.5,33735200.0,485067812.5,
0,0,40,1657,16570,497100,12498500,26782500,8034750.0,47315750.0,5100000,47315750.0,700739500.0,11828937.5,175184875.0,35386812.5,520454625.0,
0,0,40,1697,16970,509100,13094200,28059000,8417700.0,49570900.0,5200000,49570900.0,750310400.0,12392725.0,187577600.0,37078175.0,557532800.0,
0,0,40,1737,17370,521100,13703900,29365500,8809650.0,51879050.0,5300000,51879050.0,802189450.0,12969762.5,200547362.5,38809287.5,596342087.5,
0,0,40,1777,17770,533100,14327600,30702000,9210600.0,54240200.0,5400000,54240200.0,856429650.0,13560050.0,214107412.5,40580150.0,636922237.5,
0,0,40,1817,18170,545100,14965300,32068500,9620550.0,56654350.0,5500000,56654350.0,913084000.0,14163587.5,228271000.0,42390762.5,679313000.0,
0,0,40,1857,18570,557100,15617000,33465000,10039500.0,59121500.0,5600000,59121500.0,972205500.0,14780375.0,243051375.0,44241125.0,723554125.0,
0,0,40,1897,18970,569100,16282700,34891500,10467450.0,61641650.0,5700000,61641650.0,1033847150.0,15410412.5,258461787.5,46131237.5,769685362.5,
0,0,40,1937,19370,581100,16962400,36348000,10904400.0,64214800.0,5800000,64214800.0,1098061950.0,16053700.0,274515487.5,48061100.0,817746462.5,
0,0,40,1977,19770,593100,17656100,37834500,11350350.0,66840950.0,5900000,66840950.0,1164902900.0,16710237.5,291225725.0,50030712.5,867777175.0,
0,0,40,2017,20170,605100,18363800,39351000,11805300.0,69520100.0,6000000,69520100.0,1234423000.0,17380025.0,308605750.0,52040075.0,919817250.0,
